"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","310","Brooklyn Dudley","LO206 Gold","5:13.797","0.000","10","30.590","5","47.074 miles/h","Reverse"
"2","44","Brendan Wolfe","LO206 Gold","5:15.326","1.529","10","31.193","3","46.164 miles/h","Reverse"
"3","5","Slayde Shoemaker","LO206 Gold","5:32.040","18.243","10","32.301","7","44.581 miles/h","Reverse"
"4","8","Madalyn Carter","LO206 Gold","5:37.503","23.706","10","32.373","8","44.482 miles/h","Reverse"
"5","93","Eliza Brewer","LO206 Gold","5:38.598","24.801","10","32.852","8","43.833 miles/h","Reverse"
"6","89","Tytan Cookson","LO206 Gold","5:45.152","31.355","10","33.244","3","43.316 miles/h","Reverse"
"7","11","Levi Meador","LO206 Gold","2:37.685","5 laps","5","31.188","2","46.172 miles/h","Reverse"
"DQ","19","Kinley Folsom","LO206 Gold","5:20.670","0.000","10","31.119","2","46.274 miles/h","Reverse"
