"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","4","Chris Foote","LO206 375","5:16.316","0.000","10","31.134","6","46.252 mi/h","Reverse"
"2","00","Grant Mitchell","LO206 375","5:19.580","3.264","10","31.296","6","46.012 mi/h","Reverse"
"3","13b","Bill Foote","LO206 375","5:26.522","10.206","10","31.811","5","45.267 mi/h","Reverse"
"4","42","Nik Brewer","LO206 375","5:19.936","1 lap","9","34.378","9","41.887 mi/h","Reverse"
