"Pos","Start Number","Competitor","Class","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","214","Salvador Ruiz","LO206 Gold","0.000","6","30.198","5","47.685 mi/h","Reverse"
"2","89","Tytan Cookson","LO206 Gold","0.215","6","30.413","6","47.348 mi/h","Reverse"
"3","44","Brendan Wolfe","LO206 Gold","0.281","6","30.479","5","47.246 mi/h","Reverse"
"4","310","Brooklyn Dudley","LO206 Gold","0.314","6","30.512","6","47.195 mi/h","Reverse"
"5","93","Eliza Brewer","LO206 Gold","1.013","6","31.211","6","46.138 mi/h","Reverse"
"6","51","Ryle Grosso","LO206 Gold","1.885","6","32.083","5","44.884 mi/h","Reverse"
"7","00","Jackson Merrell","LO206 Gold","2.253","6","32.451","5","44.375 mi/h","Reverse"
