"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","27","Micah Davis","LO206 325","7:34.330","0.000","15","30.058","10","47.907 miles/h","Reverse"
"2","14","Bennett Smith","LO206 325","7:38.028","3.698","15","30.241","10","47.617 miles/h","Reverse"
"3","36","JJ McGrath","LO206 325","7:38.819","4.489","15","30.163","9","47.741 miles/h","Reverse"
"4","17","Chloe Jackson","LO206 325","7:43.364","9.034","15","30.419","9","47.339 miles/h","Reverse"
"5","14","Carson Channon","LO206 325","7:45.935","11.605","15","30.564","6","47.114 miles/h","Reverse"
"6","7","Mason Webb","LO206 325","7:46.440","12.110","15","30.555","13","47.128 miles/h","Reverse"
"7","4","Alexis Whitcraft","LO206 325","7:48.113","13.783","15","30.750","14","46.829 miles/h","Reverse"
"8","5","Shyann Fisher","LO206 325","4:53.805","6 laps","9","31.868","7","45.186 miles/h","Reverse"
