"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","12","Mike  Heyen","Kid Kart Briggs","5:12.870","0.000","8","38.123","6","37.772 mi/h","Reverse"
"2","11","Xander Lorang","Kid Kart Briggs","5:13.657","0.787","8","37.658","4","38.239 mi/h","Reverse"
"3","7","Rowan Dudley","Kid Kart","5:39.674","26.804","8","39.987","4","36.012 mi/h","Reverse"
"4","92","Bennett Campbell","Kid Kart","3:57.419","3 laps","5","41.050","2","35.079 mi/h","Reverse"
