"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","48","Andy Foote","LO206 360","7:46.105","0.000","15","30.623","5","47.023 mi/h","Reverse"
"2","83","Cooper Eidson","LO206 360","7:46.199","0.094","15","30.564","12","47.114 mi/h","Reverse"
"3","19","Jonas Dovre","LO206 360","7:46.640","0.535","15","30.615","10","47.036 mi/h","Reverse"
"4","13","Spencer Groden","LO206 360","7:51.791","5.686","15","30.995","4","46.459 mi/h","Reverse"
