"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","4","Chris Foote","LO206 375","7:53.896","0.000","15","30.993","8","46.462 mi/h","Reverse"
"2","00","Grant Mitchell","LO206 375","7:56.473","2.577","15","31.270","3","46.051 mi/h","Reverse"
"3","13b","Bill Foote","LO206 375","8:03.903","10.007","15","31.627","3","45.531 mi/h","Reverse"
"4","42","Nik Brewer","LO206 375","2:26.149","11 laps","4","35.233","2","40.871 mi/h","Reverse"
