"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","13","Kaleb Roberts","LO206 Green","5:06.098","0.000","10","30.148","8","47.764 mi/h","Reverse"
"2","777","Corbin Jones","LO206 Green","5:09.921","3.823","10","30.308","6","47.512 mi/h","Reverse"
"3","99","Pip Cheek","LO206 Green","5:12.070","5.972","10","30.695","10","46.913 mi/h","Reverse"
"4","32","Bella Brewer","LO206 Green","5:18.563","12.465","10","31.389","3","45.876 mi/h","Reverse"
"5","16","Charlie Heyen","LO206 Green","5:35.067","1 lap","9","35.418","6","40.657 mi/h","Reverse"
