"Pos","Start Number","Competitor","Class","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","13","Kaleb Roberts","LO206 Green","0.000","6","30.040","5","47.936 mi/h","Reverse"
"2","777","Corbin Jones","LO206 Green","0.478","6","30.518","5","47.185 mi/h","Reverse"
"3","99","Pip Cheek","LO206 Green","0.841","6","30.881","3","46.631 mi/h","Reverse"
"4","32","Bella Brewer","LO206 Green","1.121","6","31.161","6","46.212 mi/h","Reverse"
"5","16","Charlie Heyen","LO206 Green","6.546","5","36.586","5","39.359 mi/h","Reverse"
