"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","21","Eric Davis","LO206 360 Sportsman","5:09.292","0.000","10","30.701","9","46.904 miles/h","Reverse"
"2","13b","Bill Foote","LO206 360 Sportsman","5:16.331","7.039","10","31.361","10","45.917 miles/h","Reverse"
"3","11","Harlan Cox","LO206 360 Sportsman","5:16.790","7.498","10","31.047","9","46.381 miles/h","Reverse"
"4","18","Steve Moore","LO206 390 Masters","5:17.352","8.060","10","31.096","8","46.308 miles/h","Reverse"
"5","42","Nik Brewer","LO206 390 Masters","5:31.776","22.484","10","31.997","5","45.004 miles/h","Reverse"
"6","11","Anthony Courtney","LO206 360 Sportsman","5:39.150","29.858","10","32.291","9","44.594 miles/h","Reverse"
