"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","655","JJ Harrell","LO206 360 Expert","7:37.074","0.000","15","30.245","7","47.611 miles/h","Reverse"
"2","83","Cooper Eidson","LO206 360 Expert","7:38.603","1.529","15","30.303","6","47.52 miles/h","Reverse"
"3","658","Michael Heymans","LO206 360 Expert","7:41.703","4.629","15","30.390","14","47.384 miles/h","Reverse"
"4","616","Afton Willander","LO206 360 Expert","7:42.405","5.331","15","30.409","14","47.354 miles/h","Reverse"
"5","4","Chris Foote","LO206 360 Expert","7:43.911","6.837","15","30.463","7","47.27 miles/h","Reverse"
"6","630","Paul Braden","LO206 360 Expert","7:44.362","7.288","15","30.676","7","46.942 miles/h","Reverse"
"7","48","Andy Foote","LO206 360 Expert","7:44.704","7.630","15","30.488","11","47.232 miles/h","Reverse"
"8","645","Justin Dittrich","LO206 360 Expert","7:48.164","11.090","15","30.850","14","46.677 miles/h","Reverse"
"9","19","Jonas Dovre","LO206 360 Expert","5:11.494","5 laps","10","30.566","8","47.111 miles/h","Reverse"
