"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","13","Kaleb Roberts","LO206 Green","7:38.487","0.000","15","29.953","15","48.075 mi/h","Reverse"
"2","777","Corbin Jones","LO206 Green","7:48.227","9.740","15","30.539","5","47.153 mi/h","Reverse"
"3","99","Pip Cheek","LO206 Green","7:50.667","12.180","15","30.770","6","46.799 mi/h","Reverse"
"4","32","Bella Brewer","LO206 Green","7:56.969","18.482","15","31.058","5","46.365 mi/h","Reverse"
"5","16","Charlie Heyen","LO206 Green","7:50.618","2 laps","13","34.722","5","41.472 mi/h","Reverse"
