"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","310","Brooklyn Dudley","LO206 Gold","7:39.567","0.000","15","30.146","10","47.768 mi/h","Reverse"
"2","214","Salvador Ruiz","LO206 Gold","7:40.597","1.030","15","30.072","4","47.885 mi/h","Reverse"
"3","44","Brendan Wolfe","LO206 Gold","7:45.013","5.446","15","30.482","5","47.241 mi/h","Reverse"
"4","93","Eliza Brewer","LO206 Gold","7:52.284","12.717","15","30.992","12","46.464 mi/h","Reverse"
"5","00","Jackson Merrell","LO206 Gold","8:07.356","27.789","15","31.669","11","45.47 mi/h","Reverse"
"6","51","Ryle Grosso","LO206 Gold","8:09.985","30.418","15","31.974","3","45.037 mi/h","Reverse"
"7","89","Tytan Cookson","LO206 Gold","1:05.943","13 laps","2","30.785","2","46.776 mi/h","Reverse"
