"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","27","Micah Davis","LO206 325","5:01.579","0.000","10","29.887","5","48.181 miles/h","Reverse"
"2","36","JJ McGrath","LO206 325","5:05.366","3.787","10","30.270","7","47.572 miles/h","Reverse"
"3","14","Bennett Smith","LO206 325","5:05.452","3.873","10","30.235","9","47.627 miles/h","Reverse"
"4","17","Chloe Jackson","LO206 325","5:06.047","4.468","10","30.130","7","47.793 miles/h","Reverse"
"5","14","Carson Channon","LO206 325","5:09.110","7.531","10","30.498","7","47.216 miles/h","Reverse"
"6","7","Mason Webb","LO206 325","5:09.719","8.140","10","30.437","7","47.311 miles/h","Reverse"
"7","4","Alexis Whitcraft","LO206 325","5:14.002","12.423","10","30.810","3","46.738 miles/h","Reverse"
"8","5","Shyann Fisher","LO206 325","5:26.797","25.218","10","31.965","10","45.049 miles/h","Reverse"
