"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","310","Brooklyn Dudley","LO206 Gold","5:11.812","0.000","10","30.171","4","47.728 mi/h","Reverse"
"2","214","Salvador Ruiz","LO206 Gold","5:12.064","0.252","10","30.358","6","47.434 mi/h","Reverse"
"3","44","Brendan Wolfe","LO206 Gold","5:12.816","1.004","10","30.481","10","47.243 mi/h","Reverse"
"4","89","Tytan Cookson","LO206 Gold","5:13.534","1.722","10","30.388","4","47.387 mi/h","Reverse"
"5","93","Eliza Brewer","LO206 Gold","5:17.656","5.844","10","30.919","9","46.573 mi/h","Reverse"
"6","00","Jackson Merrell","LO206 Gold","5:29.532","17.720","10","31.949","3","45.072 mi/h","Reverse"
"7","51","Ryle Grosso","LO206 Gold","5:44.014","32.202","10","32.191","6","44.733 mi/h","Reverse"
