"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","53","Caiden Tuter","Kid Kart","8:02.345","0.000","12","39.153","12","36.779 miles/h","Reverse"
"2","14","Bennett Campbell","Kid Kart","8:21.070","18.725","12","40.374","4","35.667 miles/h","Reverse"
"3","5","Scarlett Downum","Kid Kart","8:23.323","1 lap","11","44.427","5","32.413 miles/h","Reverse"
"4","221","Sailor Atkins","Kid Kart","8:24.338","1 lap","11","43.937","11","32.774 miles/h","Reverse"
"5","5","Jhett Shoemaker","Kid Kart","8:11.858","2 laps","10","46.280","4","31.115 miles/h","Reverse"
