"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","53","Caiden Tuter","Kid Kart","5:17.861","0.000","8","38.737","6","37.174 miles/h","Reverse"
"2","14","Bennett Campbell","Kid Kart","5:33.629","15.768","8","40.990","6","35.131 miles/h","Reverse"
"3","221","Sailor Atkins","Kid Kart","5:17.579","1 lap","7","44.258","5","32.536 miles/h","Reverse"
"4","5","Scarlett Downum","Kid Kart","5:23.531","1 lap","7","44.647","6","32.253 miles/h","Reverse"
"5","5","Jhett Shoemaker","Kid Kart","5:39.785","1 lap","7","45.662","2","31.536 miles/h","Reverse"
