"Pos","Start Number","Competitor","Class","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","83","Cooper Eidson","LO206 360","0.000","6","30.452","6","47.288 mi/h","Reverse"
"2","48","Andy Foote","LO206 360","0.106","7","30.558","5","47.124 mi/h","Reverse"
"3","19","Jonas Dovre","LO206 360","0.344","7","30.796","6","46.759 mi/h","Reverse"
"4","13","Spencer Groden","LO206 360","0.694","7","31.146","4","46.234 mi/h","Reverse"
