"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","12","Mike  Heyen","Kid Kart Briggs","7:56.630","0.000","12","38.458","9","37.443 mi/h","Reverse"
"2","11","Xander Lorang","Kid Kart Briggs","7:58.911","2.281","12","37.815","3","38.08 mi/h","Reverse"
"3","92","Bennett Campbell","Kid Kart","8:11.888","15.258","12","39.267","4","36.672 mi/h","Reverse"
"4","7","Rowan Dudley","Kid Kart","8:21.547","24.917","12","39.629","8","36.337 mi/h","Reverse"
