"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","310","Brooklyn Dudley","LO206 Gold","7:44.389","0.000","15","30.463","15","47.27 miles/h","Reverse"
"2","44","Brendan Wolfe","LO206 Gold","7:51.339","6.950","15","31.016","8","46.428 miles/h","Reverse"
"3","11","Levi Meador","LO206 Gold","7:55.215","10.826","15","30.934","12","46.551 miles/h","Reverse"
"4","19","Kinley Folsom","LO206 Gold","7:57.099","12.710","15","31.300","10","46.006 miles/h","Reverse"
"5","5","Slayde Shoemaker","LO206 Gold","7:42.772","1 lap","14","31.946","9","45.076 miles/h","Reverse"
"6","8","Madalyn Carter","LO206 Gold","7:43.622","1 lap","14","32.412","11","44.428 miles/h","Reverse"
"7","89","Tytan Cookson","LO206 Gold","7:52.944","1 lap","14","32.191","10","44.733 miles/h","Reverse"
"8","93","Eliza Brewer","LO206 Gold","7:57.983","1 lap","14","32.818","4","43.878 miles/h","Reverse"
