"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","655","JJ Harrell","LO206 360 Expert","5:06.472","0.000","10","30.273","5","47.567 miles/h","Reverse"
"2","83","Cooper Eidson","LO206 360 Expert","5:06.745","0.273","10","30.134","10","47.787 miles/h","Reverse"
"3","616","Afton Willander","LO206 360 Expert","5:07.030","0.558","10","30.209","9","47.668 miles/h","Reverse"
"4","658","Michael Heymans","LO206 360 Expert","5:09.004","2.532","10","30.404","7","47.362 miles/h","Reverse"
"5","4","Chris Foote","LO206 360 Expert","5:10.885","4.413","10","30.477","8","47.249 miles/h","Reverse"
"6","19","Jonas Dovre","LO206 360 Expert","5:11.521","5.049","10","30.525","8","47.174 miles/h","Reverse"
"7","48","Andy Foote","LO206 360 Expert","5:15.470","8.998","10","30.473","3","47.255 miles/h","Reverse"
"8","630","Paul Braden","LO206 360 Expert","5:15.741","9.269","10","30.447","10","47.295 miles/h","Reverse"
"9","645","Justin Dittrich","LO206 360 Expert","5:17.949","11.477","10","30.942","8","46.539 miles/h","Reverse"
