"Pos","Start Number","Competitor","Class","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","12","Mike  Heyen","Kid Kart Briggs","0.000","5","37.543","3","38.356 mi/h","Reverse"
"2","11","Xander Lorang","Kid Kart Briggs","0.009","5","37.552","4","38.347 mi/h","Reverse"
"3","7","Rowan Dudley","Kid Kart","2.535","4","40.078","3","35.93 mi/h","Reverse"
"4","92","Bennett Campbell","Kid Kart","2.830","5","40.373","5","35.667 mi/h","Reverse"
