"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","83","Cooper Eidson","LO206 360","5:09.472","0.000","10","30.421","8","47.336 mi/h","Reverse"
"2","48","Andy Foote","LO206 360","5:12.230","2.758","10","30.724","9","46.869 mi/h","Reverse"
"3","19","Jonas Dovre","LO206 360","5:16.334","6.862","10","31.032","5","46.404 mi/h","Reverse"
"4","13","Spencer Groden","LO206 360","5:23.360","13.888","10","31.240","9","46.095 mi/h","Reverse"
