"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","21","Eric Davis","LO206 360 Sportsman","7:50.668","0.000","15","30.659","13","46.968 miles/h","Reverse"
"2","13b","Bill Foote","LO206 360 Sportsman","7:53.861","3.193","15","31.215","10","46.132 miles/h","Reverse"
"3","11","Harlan Cox","LO206 360 Sportsman","7:55.239","4.571","15","31.036","7","46.398 miles/h","Reverse"
"4","18","Steve Moore","LO206 390 Masters","7:57.217","6.549","15","31.365","7","45.911 miles/h","Reverse"
"5","42","Nik Brewer","LO206 390 Masters","8:16.354","25.686","15","32.150","4","44.79 miles/h","Reverse"
"6","11","Anthony Courtney","LO206 360 Sportsman","6:52.433","3 laps","12","32.551","10","44.238 miles/h","Reverse"
